num_iter,lon,lat,u,v,point,point_type
0,19.790654671922653,54.801139716965615,-6.989902662801696,3.9150548891064556,0,1
1,19.786704792161284,54.802366476524234,-6.941132385992145,3.939319023990012,0,1
2,19.78278173496925,54.803601224901264,-6.886809480576368,3.9666800107950233,0,1
3,19.778888578071463,54.80484499723789,-6.831941945129295,3.997482932728679,0,1
4,19.775025592728557,54.80609891232503,-6.796496583868926,4.015826036602072,0,1
5,19.77118202964247,54.807358834502466,-6.761138920891345,4.0358772644693985,0,1
6,19.767357822963543,54.80862531738267,-6.725865887467328,4.057286806020882,0,1
7,19.76355291181417,54.809898801477466,-6.690678839419379,4.078654262229398,0,1
8,19.75976724827438,54.81117927450351,-6.655462610890252,4.098812401954027,0,1
9,19.756000860510657,54.81246634744086,-6.618590545046414,4.118817140768268,0,1
10,19.752254676978872,54.81375998201909,-6.581823938755224,4.13876739766662,0,1
11,19.74852863924778,54.815060161887594,-6.545159582876953,4.158664878849125,0,1
12,19.744822690684142,54.81636687124876,-6.508591447927743,4.178512794331408,0,1
13,19.74113677801656,54.81768009536092,-6.472127897376359,4.198306680804639,0,1
14,19.73747084335417,54.81899981797438,-6.41949934747349,4.223052048929472,0,1
15,19.733833887731894,54.82032773618807,-6.360229705941635,4.249906589551388,0,1
16,19.730229608877803,54.821664573428876,-6.302347604204331,4.275183310256207,0,1
17,19.726657246678446,54.82300981433634,-6.2696691901636905,4.285277061143164,0,1
18,19.72310284372372,54.824358404471205,-6.238792179881308,4.294558455186832,0,1
19,19.719565400440036,54.825710072135884,-6.208006909906498,4.3038237676209325,0,1
20,19.716044866470682,54.82706481307818,-6.1773130848445525,4.313073057434447,0,1
21,19.712541191626542,54.828422623053854,-6.146407293909173,4.3226102489984655,0,1
22,19.709054492507235,54.82978359787378,-6.108032476231916,4.333862711856729,0,1
23,19.705588935296056,54.83114833817207,-6.049829648314765,4.351634609148629,0,1
24,19.702155558647142,54.832519072270664,-5.992436659835432,4.368937087432355,0,1
25,19.698753915538834,54.833895646282464,-5.947247412071421,4.38052991189837,0,1
26,19.695377231769545,54.83527614346609,-5.915050055476845,4.389945406137491,0,1
27,19.69201825448985,54.83665978356843,-5.883622451897448,4.399332443626462,0,1
28,19.68867655381754,54.83804655420997,-5.854694709979271,4.408693561298069,0,1
29,19.685350730649738,54.839436433281485,-5.825877017640645,4.418029134649074,0,1
30,19.682040724441016,54.84082941316742,-5.796351200456329,4.42651770138357,0,1
31,19.678746941669488,54.84222522564647,-5.758307040730384,4.438141959392731,0,1
32,19.675474122239702,54.84362493788553,-5.7056279052376615,4.454832559281703,0,1
33,19.672230412655523,54.84503027921231,-5.6514819457899845,4.470455501086747,0,1
34,19.669016647705163,54.84644091580375,-5.6060731033806395,4.484023642917517,0,1
35,19.665827955908092,54.847856131939494,-5.579601043695681,4.493136950491797,0,1
36,19.66265377618138,54.84927437249069,-5.553232211779006,4.502227245287041,0,1
37,19.659494051712755,54.850695630523745,-5.526278084290834,4.510606535503152,0,1
38,19.656349118888524,54.85211968093597,-5.4987082757214845,4.5182403863165295,0,1
39,19.653219331616466,54.853546287711204,-5.473153906036312,4.525848321887758,0,1
40,19.6501035617544,54.854975431094886,-5.448734165220907,4.533431692230479,0,1
41,19.647001174599,54.856407097146935,-5.425888739686454,4.540990204429994,0,1
42,19.64391128896545,54.85784126901096,-5.403171322834774,4.548526076691308,0,1
